id,campaignId,campaignName,code,status,claimedAt,nodeId
lfBngTzk,LAzzBQValqeA,Test Project,CDK-001,claimed,2026-04-28T16:49:27+08:00,
98gRIRyd,dDo5PnbeDuah,测试A,c,unused,,
BpQMTgae,LsxhqsMYgn3r,Test,B,claimed,2026-04-29T18:24:50+08:00,
kbVU42W7,dDo5PnbeDuah,测试A,d,unused,,
7t0cqwzk,1kmLjEejNIom,校园节点共建者激励计划,MIU-BUILDER-NODE-A004,unused,,
yCD4OF4p,LsxhqsMYgn3r,Test,A,claimed,2026-04-28T17:20:10+08:00,
ghtR8xEv,O8wvAWgkGFIV,2026 新生权益礼包,MIU-FRESH-2026-0003,unused,,
yTPaqjTK,JjOGD5jjzNIu,测试aaaa,s,unused,,
5BgSIGuq,O8wvAWgkGFIV,2026 新生权益礼包,MIU-FRESH-2026-0004,claimed,2026-05-12T22:07:19+08:00,ZWoN7IOap3HM
92XNHkWT,1kmLjEejNIom,校园节点共建者激励计划,MIU-BUILDER-NODE-A002,unused,,
Dp83QQPW,O8wvAWgkGFIV,2026 新生权益礼包,MIU-FRESH-2026-0001,claimed,2026-05-12T15:15:34+08:00,node_OAAb2teyya
Flz0N5au,LAzzBQValqeA,Test Project,CDK-003,unused,,
MTEFmr9Y,dDo5PnbeDuah,测试A,a,claimed,2026-05-12T13:36:34+08:00,ko7dCLnn7xrb
WF6BRPmZ,dDo5PnbeDuah,测试A,b,unused,,
eli7syxO,O8wvAWgkGFIV,2026 新生权益礼包,MIU-FRESH-2026-0002,unused,,
nU6jr45z,JjOGD5jjzNIu,测试aaaa,d,unused,,
Ft69g8Ui,1kmLjEejNIom,校园节点共建者激励计划,MIU-BUILDER-NODE-A003,unused,,
Kit8N9U1,JjOGD5jjzNIu,测试aaaa,v,unused,,
Ml3Bc5OB,O8wvAWgkGFIV,2026 新生权益礼包,MIU-FRESH-2026-0005,unused,,
RqtQLr4D,dDo5PnbeDuah,测试A,e,unused,,
cxdTLaKi,JjOGD5jjzNIu,测试aaaa,b,unused,,
6sPDlt3g,LAzzBQValqeA,Test Project,CDK-002,unused,,
hAnHSpfz,JjOGD5jjzNIu,测试aaaa,e,unused,,
z8346sUO,1kmLjEejNIom,校园节点共建者激励计划,MIU-BUILDER-NODE-A001,unused,,
78hd89RO,1kmLjEejNIom,校园节点共建者激励计划,MIU-BUILDER-NODE-A005,unused,,
BK3hg2ou,dDo5PnbeDuah,测试A,g,unused,,
QHGw5MAN,JjOGD5jjzNIu,测试aaaa,c,unused,,
XXXnWUhD,JjOGD5jjzNIu,测试aaaa,a,unused,,
ZTFZYYwg,dDo5PnbeDuah,测试A,f,unused,,
